ONSConstID,bfb_Seat,bfb_Con,bfb_Lab,bfb_LibDem,bfb_Green,bfb_BXP,bfb_Plaid,bfb_Other,bfb_Reco
E14000530,Aldershot,0.396090535,0.166666667,0.192386831,0.076131687,0.143004115,NA,0.025720165,Lib Dem
E14000531,Aldridge-Brownhills,0.482191781,0.17260274,0.11369863,0.045205479,0.152054795,NA,0.034246575,Lab
E14000532,Altrincham and Sale West,0.373175183,0.216240876,0.253649635,0.059306569,0.074817518,NA,0.022810219,Lib Dem
E14000533,Amber Valley,0.459770115,0.231034483,0.113793103,0.03908046,0.127586207,NA,0.028735632,Lab
E14000534,Arundel and South Downs,0.420245399,0.112474438,0.237218814,0.076687117,0.127811861,NA,0.025562372,Lib Dem
E14000535,Ashfield,0.345714286,0.24,0.093333333,0.083809524,0.213333333,NA,0.023809524,Lab
E14000536,Ashford,0.447368421,0.173913044,0.159038902,0.066361556,0.124713959,NA,0.028604119,Lab
E14000537,Ashton-under-Lyne,0.287344398,0.385892116,0.107883817,0.048755187,0.144190871,NA,0.02593361,Lab
E14000538,Aylesbury,0.395252838,0.174406605,0.208462332,0.069143447,0.126934985,NA,0.025799794,Lib Dem
E14000539,Banbury,0.43908046,0.211494253,0.157471264,0.059770115,0.103448276,NA,0.028735632,Lab
E14000540,Barking,0.201612903,0.442396313,0.119815668,0.051843318,0.155529954,NA,0.028801843,Lab
E14000541,Barnsley Central,0.224508887,0.34424696,0.10383536,0.065481759,0.238540692,NA,0.023386342,Lab
E14000542,Barnsley East,0.222405272,0.308896211,0.098023064,0.073311367,0.276771005,NA,0.020593081,Lab
E14000543,Barrow and Furness,0.351970669,0.302474794,0.125572869,0.037580202,0.159486709,NA,0.022914757,Lab
E14000544,Basildon and Billericay,0.426773455,0.180778032,0.138443936,0.052631579,0.172768879,NA,0.028604119,Lab
E14000545,Basingstoke,0.389865564,0.194415719,0.221302999,0.066184074,0.10237849,NA,0.025853154,Lib Dem
E14000546,Bassetlaw,0.336095764,0.275322284,0.132596685,0.039594843,0.193370166,NA,0.023020258,Lab
E14000547,Bath,0.272519954,0.108323831,0.460661346,0.078677309,0.051311288,NA,0.028506271,Lib Dem
E14000548,Batley and Spen,0.300324675,0.328733766,0.104707792,0.07224026,0.173701299,NA,0.020292208,Lab
E14000549,Battersea,0.310040161,0.254618474,0.311646586,0.065863454,0.037751004,NA,0.020080321,Lab
E14000551,Beckenham,0.428571429,0.164571429,0.237714286,0.048,0.100571429,NA,0.020571429,Lib Dem
E14000552,Bedford,0.343978102,0.302919708,0.148722628,0.064781022,0.116788321,NA,0.022810219,Lab
E14000553,Bermondsey and Old Southwark,0.187845304,0.347145488,0.330570902,0.064456722,0.046961326,NA,0.023020258,LibLab
E14000554,Berwick-upon-Tweed,0.364963504,0.148722628,0.260948905,0.057481752,0.145072993,NA,0.022810219,Lib Dem
E14000555,Bethnal Green and Bow,0.165497896,0.496493689,0.166900421,0.064516129,0.071528752,NA,0.035063114,Lab
E14000556,Beverley and Holderness,0.428407789,0.184421535,0.172966781,0.058419244,0.127147766,NA,0.028636884,Lab
E14000557,Bexhill and Battle,0.461363636,0.134090909,0.185227273,0.067045455,0.123863636,NA,0.028409091,Lib Dem
E14000558,Bexleyheath and Crayford,0.417184265,0.201863354,0.1563147,0.050724638,0.148033126,NA,0.025879917,Lab
E14000559,Birkenhead,0.175102599,0.50752394,0.095759234,0.058823529,0.128590971,NA,0.034199726,Lab
E14000560,"Birmingham, Edgbaston",0.275388838,0.337602928,0.15736505,0.081427264,0.125343092,NA,0.022872827,Lab
E14000561,"Birmingham, Erdington",0.298336798,0.384615385,0.096673597,0.062370062,0.132016632,NA,0.025987526,Lab
E14000562,"Birmingham, Hall Green",0.150891632,0.540466392,0.152263375,0.063100137,0.058984911,NA,0.034293553,Lab
E14000563,"Birmingham, Hodge Hill",0.150492264,0.565400844,0.073136428,0.05907173,0.11673699,NA,0.035161744,Lab
E14000564,"Birmingham, Ladywood",0.138964578,0.549046322,0.134877384,0.069482289,0.073569482,NA,0.034059946,Lab
E14000565,"Birmingham, Northfield",0.291628335,0.356945722,0.09475621,0.061637535,0.172033119,NA,0.02299908,Lab
E14000566,"Birmingham, Perry Barr",0.247410817,0.453394707,0.113924051,0.057537399,0.098964327,NA,0.0287687,Lab
E14000567,"Birmingham, Selly Oak",0.271794872,0.408205128,0.136410256,0.075897436,0.082051282,NA,0.025641026,Lab
E14000568,"Birmingham, Yardley",0.215176715,0.387733888,0.155925156,0.056133056,0.159043659,NA,0.025987526,Lab
E14000569,Bishop Auckland,0.353917051,0.280184332,0.139170507,0.041474654,0.162211982,NA,0.023041475,Lab
E14000570,Blackburn,0.247990815,0.458094145,0.104477612,0.045924225,0.114810563,NA,0.028702641,Lab
E14000571,Blackley and Broughton,0.209195402,0.464367816,0.11954023,0.055172414,0.122988506,NA,0.028735632,Lab
E14000572,Blackpool North and Cleveleys,0.360219982,0.271310724,0.109074244,0.056828598,0.179651696,NA,0.022914757,Lab
E14000573,Blackpool South,0.308539945,0.334251607,0.093663912,0.045913682,0.194674013,NA,0.022956841,Lab
E14000574,Blaydon,0.223472669,0.298231511,0.183279743,0.073954984,0.20096463,NA,0.020096463,Lab
E14000575,Blyth Valley,0.318327974,0.317524116,0.132636656,0.054662379,0.156752412,NA,0.020096463,Lab
E14000576,Bognor Regis and Littlehampton,0.417445483,0.151609554,0.167185878,0.063343718,0.174454829,NA,0.02596054,Lib Dem
E14000577,Bolsover,0.344413666,0.283471838,0.104339797,0.041551247,0.203139428,NA,0.023084026,Lab
E14000578,Bolton North East,0.343721357,0.315307058,0.133822182,0.043996334,0.140238314,NA,0.022914757,Lab
E14000579,Bolton South East,0.250517598,0.407867495,0.090062112,0.056935818,0.16873706,NA,0.025879917,Lab
E14000580,Bolton West,0.369385885,0.292392301,0.144821265,0.043996334,0.126489459,NA,0.022914757,Lab
E14000581,Bootle,0.131687243,0.55829904,0.091906722,0.054869685,0.128943759,NA,0.034293553,Lab
E14000582,Boston and Skegness,0.487569061,0.136740332,0.114640884,0.045580111,0.180939227,NA,0.034530387,Lab
E14000583,Bosworth,0.448118586,0.144811859,0.204104903,0.052451539,0.122006842,NA,0.028506271,Lib Dem
E14000584,Bournemouth East,0.392746114,0.207253886,0.189637306,0.07253886,0.111917098,NA,0.025906736,Lab
E14000585,Bournemouth West,0.365313653,0.21402214,0.164206642,0.07195572,0.161439114,NA,0.023062731,Lab
E14000586,Bracknell,0.425799087,0.170091324,0.194063927,0.054794521,0.126712329,NA,0.028538813,Lib Dem
E14000587,Bradford East,0.211583924,0.457446809,0.094562648,0.055555556,0.151300236,NA,0.029550827,Lab
