pcon,lab_pc_17,cons_pc_17,lib_pc_17,refno,Constituency,Estimated Leave proportion,Known result,han_est_leave,Notes,Region,Errors,X10,index_mp,party,name_mp,brexit_vote,rebel,payroll,cabinet,lab_min_con_17,bfb_Seat,bfb_Con,bfb_Lab,bfb_LibDem,bfb_Green,bfb_BXP,bfb_Plaid,bfb_Other,bfb_Reco
E14000530,0.31617977528089886,0.550561797752809,0.0743003064351379,7,Aldershot,0.582306762,0.5789776574,0.5789776574,http://www.bbc.co.uk/news/uk-politics-38762034,South East,-0.00332910456,NA,149,Con,Leo Docherty,For,No,N,N,-0.23438202247191015,Aldershot,0.396090535,0.166666667,0.192386831,0.076131687,0.143004115,NA,0.025720165,Lib Dem
E14000531,0.2984963340375295,0.654082266683236,0.03337889896855971,8,Aldridge-Brownhills,0.6802282273,0.6779634958,0.6779634958,http://www.bbc.co.uk/news/uk-politics-38762034,West Midlands,-0.00226473148,NA,446,Con,Wendy Morton,For,No,Y,N,-0.3555859326457065,Aldridge-Brownhills,0.482191781,0.17260274,0.11369863,0.045205479,0.152054795,NA,0.034246575,Lab
E14000532,0.38846372419018754,0.5101913241144156,0.07673801856412199,9,Altrincham and Sale West,0.3846870964,NA,0.3846870964,NA,North West,NA,NA,55,Con,Sir Graham Brady,Against,Yes,N,N,-0.12172759992422805,Altrincham and Sale West,0.373175183,0.216240876,0.253649635,0.059306569,0.074817518,NA,0.022810219,Lib Dem
E14000533,0.3842963480386807,0.565475540808976,0.024011700246665647,11,Amber Valley,0.6533921445,NA,0.6533921445,NA,East Midlands,NA,NA,430,Con,Nigel Mills,Against,Yes,N,N,-0.18117919277029532,Amber Valley,0.459770115,0.231034483,0.113793103,0.03908046,0.127586207,NA,0.028735632,Lab
E14000534,0.2271972915560276,0.6235561603823686,0.0793779872543813,18,Arundel and South Downs,0.5068538363,NA,0.5068538363,NA,South East,NA,NA,282,Con,Nick Herbert,For,No,N,N,-0.39635886882634097,Arundel and South Downs,0.420245399,0.112474438,0.237218814,0.076687117,0.127811861,NA,0.025562372,Lib Dem
E14000535,0.4257596063448883,0.4169383713719921,0.019382713579901185,19,Ashfield,0.7057585002,NA,0.7057585002,NA,East Midlands,NA,NA,143,Lab,Gloria De Piero,Against,No,N,N,0.00882123497289622,Ashfield,0.345714286,0.24,0.093333333,0.083809524,0.21333333300000001,NA,0.023809524,Lab
E14000536,0.2979341672372618,0.5898228093321531,0.05178777200688054,20,Ashford,0.596788819,NA,0.596788819,NA,South East,NA,NA,240,Con,Damian Green,For,No,N,N,-0.29188864209489135,Ashford,0.447368421,0.173913044,0.159038902,0.066361556,0.124713959,NA,0.028604119,Lab
E14000537,0.6035501470847057,0.3195635229929852,0.01624217433937596,21,Ashton-under-Lyne,0.6354520147,0.6180980255,0.6180980255,http://www.bbc.co.uk/news/uk-politics-38762034,North West,-0.01735398917,NA,501,Lab,Angela Rayner,Against,No,N,N,0.2839866240917205,Ashton-under-Lyne,0.287344398,0.385892116,0.107883817,0.048755187,0.144190871,NA,0.02593361,Lab
E14000538,0.30037595903577563,0.5496997431230117,0.09628634128914822,22,Aylesbury,0.5210161337,NA,0.5210161337,NA,South East,NA,NA,370,Con,Mr David Lidington,For,No,Y,Y,-0.2493237840872361,Aylesbury,0.395252838,0.174406605,0.208462332,0.069143447,0.126934985,NA,0.025799794,Lib Dem
E14000539,0.3409408401286508,0.5423475520613366,0.056073551866411095,26,Banbury,0.5053589533,NA,0.5053589533,NA,South East,NA,NA,492,Con,Victoria Prentis,For,No,N,N,-0.20140671193268578,Banbury,0.43908046,0.211494253,0.157471264,0.059770115,0.103448276,NA,0.028735632,Lab
E14000540,0.6778455923991694,0.22464816795654272,0.012563182952662597,28,Barking,0.6033002338,NA,0.6033002338,NA,London,NA,NA,289,Lab,Dame Margaret Hodge,Against,No,N,N,0.4531974244426267,Barking,0.201612903,0.442396313,0.119815668,0.051843318,0.155529954,NA,0.028801843,Lab
E14000541,0.639138332437895,0.24141018753038093,0.014045590605572185,29,Barnsley Central,0.6837815879,NA,0.6837815879,NA,Yorkshire and The Humber,NA,NA,311,Lab,Dan Jarvis,Against,No,N,N,0.39772814490751407,Barnsley Central,0.224508887,0.34424696,0.10383536,0.065481759,0.238540692,NA,0.023386342,Lab
E14000542,0.5954483029232882,0.26969295664116144,0.018393172454384932,30,Barnsley East,0.7077794137,NA,0.7077794137,NA,Yorkshire and The Humber,NA,NA,473,Lab,Stephanie Peacock,Against,No,N,N,0.32575534628212677,Barnsley East,0.222405272,0.308896211,0.098023064,0.073311367,0.276771005,NA,0.020593081,Lab
E14000543,0.4747215801639,0.47032990123975627,0.026854381172515235,31,Barrow and Furness,0.5678741119,NA,0.5678741119,NA,North West,NA,NA,645,Ind,John Woodcock,Against,––,N,N,0.004391678924143716,Barrow and Furness,0.351970669,0.302474794,0.125572869,0.037580202,0.159486709,NA,0.022914757,Lab
E14000544,0.3112560666102676,0.6095774522463155,0.034462798877955385,32,Basildon and Billericay,0.669165671,NA,0.669165671,NA,East of England,NA,NA,26,Con,Mr John Baron,Against,Yes,N,N,-0.29832138563604793,Basildon and Billericay,0.426773455,0.180778032,0.138443936,0.052631579,0.172768879,NA,0.028604119,Lab
E14000545,0.3581844174410293,0.5273409578270193,0.06086490350250179,34,Basingstoke,0.5364191295,NA,0.5364191295,NA,South East,NA,NA,428,Con,Mrs Maria Miller,For,No,N,N,-0.16915654038598998,Basingstoke,0.389865564,0.194415719,0.221302999,0.066184074,0.10237849,NA,0.025853154,Lib Dem
E14000546,0.5256842105263158,0.43282296650717705,0.022086124401913876,35,Bassetlaw,0.6832485971,NA,0.6832485971,NA,East Midlands,NA,NA,393,Lab,John Mann,For,Yes,N,N,0.0928612440191387,Bassetlaw,0.336095764,0.275322284,0.132596685,0.039594843,0.193370166,NA,0.023020258,Lab
E14000547,0.14680434826452615,0.357824254280701,0.47266200108908296,36,Bath,0.3169279409,NA,0.3169279409,NA,South West,NA,NA,288,LD,Wera Hobhouse,Against,No,N,N,-0.21101990601617487,Bath,0.272519954,0.108323831,0.460661346,0.078677309,0.051311288,NA,0.028506271,Lib Dem
E14000548,0.5549274823354406,0.38830420230568985,0.022759390107846784,37,Batley and Spen,0.6035245428,NA,0.6035245428,NA,Yorkshire and The Humber,NA,NA,50,Lab,Tracy Brabin,Against,No,N,N,0.1666232800297508,Batley and Spen,0.300324675,0.328733766,0.104707792,0.07224026,0.173701299,NA,0.020292208,Lab
E14000549,0.45937011878382794,0.41548912056376913,0.0799338879000327,38,Battersea,0.2303755679,NA,0.2303755679,NA,London,NA,NA,142,Lab,Marsha De Cordova,Against,No,N,N,0.04388099822005881,Battersea,0.310040161,0.254618474,0.311646586,0.065863454,0.037751004,NA,0.020080321,Lab
E14000551,0.3010846407127639,0.5932984698818516,0.078888243269417,40,Beckenham,0.4748808751,0.4838170491,0.4838170491,http://www.bbc.co.uk/news/uk-politics-38762034,London,0.008936173972,NA,571,Con,Bob Stewart,Against,Yes,N,N,-0.2922138291690877,Beckenham,0.428571429,0.164571429,0.237714286,0.048,0.100571429,NA,0.020571429,Lib Dem
E14000552,0.4684818481848185,0.45220709570957096,0.05851897689768977,41,Bedford,0.5367871676,0.5194916653,0.5194916653,http://www.bbc.co.uk/news/uk-politics-38762034,East of England,-0.01729550226,NA,648,Lab,Mohammad Yasin,Against,No,N,N,0.01627475247524751,Bedford,0.343978102,0.302919708,0.148722628,0.064781022,0.116788321,NA,0.022810219,Lab
E14000553,0.532475521607628,0.1295432408878864,0.3108115035628236,49,Bermondsey and Old Southwark,0.2700401192,NA,0.2700401192,NA,London,NA,NA,118,Lab,Neil Coyle,Against,No,N,N,0.40293228071974163,Bermondsey and Old Southwark,0.187845304,0.347145488,0.330570902,0.064456722,0.046961326,NA,0.023020258,LibLab
E14000554,0.24552260020847153,0.5246138538804132,0.21121955841940682,50,Berwick-upon-Tweed,0.5555173308,NA,0.5555173308,NA,North East,NA,NA,601,Con,Anne-Marie Trevelyan,Against,Yes,N,N,-0.27909125367194165,Berwick-upon-Tweed,0.364963504,0.148722628,0.260948905,0.057481752,0.145072993,NA,0.022810219,Lib Dem
E14000555,0.7182448809026327,0.12663602173004596,0.04984538236523193,52,Bethnal Green and Bow,0.3093190508,NA,0.3093190508,NA,London,NA,NA,7,Lab,Rushanara Ali,Against,No,N,N,0.5916088591725868,Bethnal Green and Bow,0.165497896,0.496493689,0.166900421,0.064516129,0.071528752,NA,0.035063114,Lab
E14000556,0.33173370717854705,0.5841151730831446,0.050469103849886766,53,Beverley and Holderness,0.5878960886,NA,0.5878960886,NA,Yorkshire and The Humber,NA,NA,579,Con,Graham Stuart,For,No,Y,N,-0.2523814659045976,Beverley and Holderness,0.428407789,0.184421535,0.17296678100000001,0.058419244,0.127147766,NA,0.028636884,Lab
E14000557,0.24699018025289213,0.6196865751950498,0.0754136400322841,54,Bexhill and Battle,0.5767643982,NA,0.5767643982,NA,South East,NA,NA,425,Con,Huw Merriman,For,No,N,N,-0.37269639494215767,Bexhill and Battle,0.461363636,0.134090909,0.185227273,0.067045455,0.123863636,NA,0.028409091,Lib Dem
E14000558,0.3549536391599726,0.5557325897895505,0.026577264378499194,55,Bexleyheath and Crayford,0.6504957583,NA,0.6504957583,NA,London,NA,NA,184,Con,Sir David Evennett,Against,Yes,N,N,-0.20077895062957796,Bexleyheath and Crayford,0.417184265,0.201863354,0.1563147,0.050724638,0.148033126,NA,0.025879917,Lab
E14000559,0.7685683530678149,0.18422921008634313,0.02560520349036942,56,Birkenhead,0.5183463344,0.517076065,0.517076065,See http://www.wirralglobe.co.uk/news/14582313.Detailed_breakdown_of_how_Wirral_voted_in_Referendum___The_poorer_the_area__the_bigger_its_Leave_vote_/,North West,-0.001270269418,NA,190,Ind,Frank Field,For,––,N,N,0.5843391429814717,Birkenhead,0.175102599,0.50752394,0.095759234,0.058823529,0.128590971,NA,0.034199726,Lab
E14000560,0.5531505090342108,0.3945473722828579,0.0358616894432725,57,"Birmingham, Edgbaston",0.4316584117,0.4734707048,0.4734707048,http://www.bbc.co.uk/news/uk-politics-38762034,West Midlands,0.04181229312,NA,220,Lab,Preet Kaur Gill,Against,No,N,N,0.1586031367513529,"Birmingham, Edgbaston",0.275388838,0.337602928,0.15736505,0.081427264,0.125343092,NA,0.022872827,Lab
E14000561,0.5796007201010291,0.3838568396163044,0.020152081038235216,58,"Birmingham, Erdington",0.5752276967,0.6297289172,0.6297289172,http://www.bbc.co.uk/news/uk-politics-38762034,West Midlands,0.05450122051,NA,163,Lab,Jack Dromey,Against,No,N,N,0.19574388048472474,"Birmingham, Erdington",0.298336798,0.384615385,0.096673597,0.062370062,0.132016632,NA,0.025987526,Lab
E14000562,0.7759712760081017,0.15096667280427178,0.05776100165715338,59,"Birmingham, Hall Green",0.4326658793,0.3356875091,0.3356875091,http://www.bbc.co.uk/news/uk-politics-38762034,West Midlands,-0.09697837017,NA,225,Lab,Mr Roger Godsiff,Against,No,N,N,0.6250046032038299,"Birmingham, Hall Green",0.150891632,0.540466392,0.152263375,0.063100137,0.058984911,NA,0.034293553,Lab
E14000563,0.8105789541751088,0.14182868474371685,0.017351381644178127,60,"Birmingham, Hodge Hill",0.575881462,0.5148416727,0.5148416727,http://www.bbc.co.uk/news/uk-politics-38762034,West Midlands,-0.06103978925,NA,77,Lab,Liam Byrne,Against,No,N,N,0.668750269431392,"Birmingham, Hodge Hill",0.150492264,0.565400844,0.073136428,0.05907173,0.11673699,NA,0.035161744,Lab
E14000564,0.8271237320550996,0.13198731449875323,0.0279855714527804,61,"Birmingham, Ladywood",0.4108290645,0.3562267156,0.3562267156,http://www.bbc.co.uk/news/uk-politics-38762034,West Midlands,-0.05460234885,NA,388,Lab,Shabana Mahmood,Against,No,N,N,0.6951364175563464,"Birmingham, Ladywood",0.138964578,0.549046322,0.134877384,0.069482289,0.073569482,NA,0.034059946,Lab
E14000565,0.5320645801389015,0.4268287183187517,0.021624425002254893,62,"Birmingham, Northfield",0.575496397,0.617882451,0.617882451,http://www.bbc.co.uk/news/uk-politics-38762034,West Midlands,0.04238605395,NA,71,Lab,Richard Burden,Against,No,N,N,0.10523586182014977,"Birmingham, Northfield",0.291628335,0.356945722,0.09475621,0.061637535,0.172033119,NA,0.02299908,Lab
E14000566,0.6812453333936692,0.2653121252573704,0.024436047695544947,63,"Birmingham, Perry Barr",0.5418580413,0.5121731706,0.5121731706,http://www.bbc.co.uk/news/uk-politics-38762034,West Midlands,-0.02968487067,NA,387,Lab,Mr Khalid Mahmood,Against,No,N,N,0.4159332081362988,"Birmingham, Perry Barr",0.247410817,0.453394707,0.113924051,0.057537399,0.098964327,NA,0.0287687,Lab
E14000567,0.629498826171277,0.31905685413902213,0.03356129427375727,64,"Birmingham, Selly Oak",0.436370308,0.4690743133,0.4690743133,http://www.bbc.co.uk/news/uk-politics-38762034,West Midlands,0.03270400526,NA,403,Lab,Steve McCabe,Against,No,N,N,0.3104419720322548,"Birmingham, Selly Oak",0.271794872,0.408205128,0.136410256,0.075897436,0.082051282,NA,0.025641026,Lab
E14000568,0.5707159228798706,0.19828322322592243,0.17940766707114286,65,"Birmingham, Yardley",0.6129222895,0.6009480763,0.6009480763,http://www.bbc.co.uk/news/uk-politics-38762034,West Midlands,-0.01197421315,NA,481,Lab,Jess Phillips,Against,No,N,N,0.3724326996539482,"Birmingham, Yardley",0.215176715,0.387733888,0.155925156,0.056133056,0.159043659,NA,0.025987526,Lab
E14000569,0.4807652318569349,0.46916660890460016,0.027171276079573023,66,Bishop Auckland,0.6062241442,NA,0.6062241442,NA,North East,NA,NA,227,Lab,Helen Goodman,Against,No,N,N,0.01159862295233477,Bishop Auckland,0.353917051,0.280184332,0.139170507,0.041474654,0.162211982,NA,0.023041475,Lab
E14000570,0.6976323266336947,0.26896769441229085,0.014921603704093444,67,Blackburn,0.5643112214,0.5372925725,0.5372925725,http://www.bbc.co.uk/news/uk-politics-38762034,North West,-0.02701864894,NA,292,Lab,Kate Hollern,Against,No,N,N,0.42866463222140383,Blackburn,0.247990815,0.458094145,0.104477612,0.045924225,0.114810563,NA,0.028702641,Lab
E14000571,0.7044599007802956,0.21581532171615186,0.018373096003789294,68,Blackley and Broughton,0.5133290917,NA,0.5133290917,NA,North West,NA,NA,578,Lab,Graham Stringer,Against,No,N,N,0.48864457906414377,Blackley and Broughton,0.209195402,0.464367816,0.11954023,0.055172414,0.122988506,NA,0.028735632,Lab
E14000572,0.4446070183139464,0.49394005901431465,0.018216402077694052,69,Blackpool North and Cleveleys,0.6685365381,NA,0.6685365381,NA,North West,NA,NA,402,Con,Paul Maynard,For,No,Y,N,-0.04933304070036826,Blackpool North and Cleveleys,0.360219982,0.271310724,0.109074244,0.056828598,0.179651696,NA,0.022914757,Lab
E14000573,0.502989729064744,0.43080708379824334,0.0181386433210311,70,Blackpool South,0.6780391362,NA,0.6780391362,NA,North West,NA,NA,395,Lab,Gordon Marsden,Against,No,N,N,0.0721826452665007,Blackpool South,0.308539945,0.334251607,0.093663912,0.045913682,0.194674013,NA,0.022956841,Lab
E14000574,0.5610806089343648,0.2808002662008152,0.09079943432326762,72,Blaydon,0.5631875632,NA,0.5631875632,NA,North East,NA,NA,609,Lab,Liz Twist,Against,No,N,N,0.2802803427335496,Blaydon,0.223472669,0.298231511,0.183279743,0.073954984,0.20096463,NA,0.020096463,Lab
